name,count
craigslist,183
yahoo,85
slideshare,56
wordpress,43
bp,42
kijiji,27
doubleclick,19
pescurt,19
twitter,18
wikia,16
blogger,16
google,15
blogfa,15
wikipedia,15
typepad,13
welt,12
ameblo,12
blogmura,10
seroundtable,10
amazon,9
youtube,9
cnn,9
globo,9
chacha,8
haber7,8
livedoor,8
identi,8
fc2,8
steve-shickles,8
mozillazine,8
sportsnipe,8
dealsontheweb,7
answerbag,7
seesaa,7
digitalspy,7
wassr,7
pr-inside,7
mediainfo,7
java,7
citeulike,7
nwsource,7
dealsofamerica,6
cruisecritic,6
golivewire,6
gravatar,6
nytimes,6
digitalcamerareview,5
guardian,5
medblogs,5
novosti,5
