name,count
craigslist,183
slideshare,56
ad.doubleclick,19
pescurt,19
twitter,18
mx.answers.yahoo,14
blogger,14
ar.answers.yahoo,14
it.answers.yahoo,12
ameblo,12
newsticker.welt,12
fr.answers.yahoo,11
3.bp,11
2.bp,11
en.wikipedia,11
4.bp,11
1.bp,11
seroundtable,10
london.kijiji,9
amazon,9
youtube,9
chacha,8
haber7,8
identi,8
steve-shickles,8
forums.mozillazine,8
sportsnipe,8
de.answers.yahoo,7
dealsontheweb,7
answerbag,7
wassr,7
digitalspy,7
pr-inside,7
mediainfo,7
citeulike,7
java,7
blog.livedoor,7
dealsofamerica,6
boards.cruisecritic,6
us.rd.yahoo,6
golivewire,6
ca.answers.yahoo,6
gravatar,6
saintjohn.kijiji,6
forum.digitalcamerareview,5
news.google,5
ottawa.kijiji,5
medblogs,5
novosti,5
uncyclopedia,5
