name,count
craigslist,97
yahoo,45
slideshare,34
wordpress,24
bp,23
kijiji,14
pescurt,11
doubleclick,10
twitter,10
blogfa,9
wikia,9
blogger,9
google,8
wikipedia,8
none,8
typepad,7
welt,7
ameblo,6
blogmura,5
seroundtable,5
amazon,5
haber7,5
steve-shickles,5
youtube,5
cnn,5
fc2,5
globo,5
livedoor,5
identi,5
chacha,5
sportsnipe,4
seesaa,4
mediainfo,4
dealsontheweb,4
dealsofamerica,4
answerbag,4
digitalspy,4
wassr,4
nwsource,4
pr-inside,4
java,4
citeulike,4
cruisecritic,4
golivewire,4
gravatar,3
nytimes,3
novosti,3
digitalcamerareview,3
guardian,3
deals2buy,3
