name,count
craigslist.org,97
slideshare.net,20
slideshare.com,14
pescurt.ro,11
ad.doubleclick.net,10
twitter.com,10
mx.answers.yahoo.com,8
blogger.com,8
ar.answers.yahoo.com,8
none,8
it.answers.yahoo.com,7
ameblo.jp,6
newsticker.welt.de,6
fr.answers.yahoo.com,6
3.bp.blogspot.com,6
en.wikipedia.org,6
2.bp.blogspot.com,6
4.bp.blogspot.com,6
1.bp.blogspot.com,6
seroundtable.com,5
london.kijiji.ca,5
haber7.com,5
youtube.com,5
identi.ca,5
chacha.com,5
sportsnipe.com,4
mediainfo.com,4
de.answers.yahoo.com,4
dealsontheweb.com,4
dealsofamerica.com,4
answerbag.com,4
wassr.jp,4
digitalspy.co.uk,4
amazon.com,4
pr-inside.com,4
citeulike.org,4
boards.cruisecritic.com,4
us.rd.yahoo.com,4
golivewire.com,4
blog.livedoor.jp,3
ca.answers.yahoo.com,3
gravatar.com,3
java.com,3
novosti.dn.ua,3
saintjohn.kijiji.ca,3
forum.digitalcamerareview.com,3
deals2buy.com,3
medblogs.org,3
ottawa.kijiji.ca,3
torrentportal.com,3
